Login,Role,Standard Role,Role Base Name,Role Group
andred,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
andrefaria,Tester,QA - Sr,QA,4 - Senior
andrefw,Developer Master,Developer - Master,Developer,5 - Master / Manager
andregb,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
andregc,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
andregp,Developer,Developer - Jr,Developer,2 - Junior
andreh,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
andrehr,Software Architect,Systems Architect,Systems Architect,5 - Master / Manager
andrehs,Developer,Developer - Mid,Developer,3 - Mid-Level
andreials,Squad Leader,Scrum Master,Scrum Master,4 - Senior
andreiamc,Developer,Developer - Mid,Developer,3 - Mid-Level
andreiasantos,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
andreiasb,Scrum Master,Scrum Master,Scrum Master,4 - Senior
andreik,Scrum Master,Scrum Master,Scrum Master,4 - Senior
andreilima,Developer,Developer - Sr,Developer,4 - Senior
andreimb,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
andreina,Tester,QA - Mid,QA,3 - Mid-Level
andreiw,Developer,Developer - Mid,Developer,3 - Mid-Level
andrej,Developer,Developer - Sr,Developer,4 - Senior
andrel,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
andreld,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
andreluizc,Developer,Developer - Sr,Developer,4 - Senior
andreluizvl,Developer,Developer - Jr,Developer,2 - Junior
andremarinho,Tester,QA - Sr,QA,4 - Senior
andremb,Developer,Developer - Sr,Developer,4 - Senior
andremelo,Developer,Developer - Mid,Developer,3 - Mid-Level
andremendonca,Tester,QA - Sr,QA,4 - Senior
andremm,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
andremp,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
andremv,Developer,Developer - Sr,Developer,4 - Senior
andreoliveira,Developer,Developer - Jr,Developer,2 - Junior
andrep,Developer,Developer - Mid,Developer,3 - Mid-Level
andrepm,Developer,Developer - Sr,Developer,4 - Senior
andrerp,Developer,Developer - Jr,Developer,2 - Junior
andrers,Tester,QA - Sr,QA,4 - Senior
andres.acuna,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
andres.bonilla,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
andres.hita,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
andres.huertas,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
andres.manrique,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
andres.mejia,Developer,Developer - Sr,Developer,4 - Senior
andres.morales,Quality Analyst,QA - Sr,QA,4 - Senior
andres.ortiz,Developer,Developer - Mid,Developer,3 - Mid-Level
andres.reyes,Developer,Developer - Sr,Developer,4 - Senior
andres.rosales,Quality Analyst,QA - Jr,QA,2 - Junior
andres.sanchez,Tech Intern,Intern,Intern,1 - Intern
andresantiago,Developer,Developer - Sr,Developer,4 - Senior
andresilva,Developer Master,Developer - Master,Developer,5 - Master / Manager
andresilveira,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
andresmgr,Developer,Developer - Sr,Developer,4 - Senior
andresn,Product Designer Expert,UI Designer - Master,UI Designer,5 - Master / Manager
andresquillace,Developer,Developer - Sr,Developer,4 - Senior
andresr,Developer,Developer - Sr,Developer,4 - Senior
andressa.batista,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
andressa.sampaio,Scrum Master,Scrum Master,Scrum Master,4 - Senior
andressac,Developer,Developer - Mid,Developer,3 - Mid-Level
andressacr,Developer,Developer - Jr,Developer,2 - Junior
andressaf,UI Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
andressafernandes,Support Analyst,Support Analyst - Mid,Support Analyst,3 - Mid-Level
andressarm,Tester,QA - Mid,QA,3 - Mid-Level
andressas,Developer,Developer - Jr,Developer,2 - Junior
andressasm,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
andresuave,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
andretc,Developer Master,Developer - Master,Developer,5 - Master / Manager
andretm,Developer,Developer - Mid,Developer,3 - Mid-Level
andrevc,Developer,Developer - Mid,Developer,3 - Mid-Level
andrew,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
andrewl,Developer,Developer - Sr,Developer,4 - Senior
andrewm,Support Analyst,Intern,Intern,1 - Intern
andrewz,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
andrexm,Developer,Developer - Sr,Developer,4 - Senior
andreylara,Developer,Developer - Mid,Developer,3 - Mid-Level
andrez,"Senior Business Director, EMEA",Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
andreza.andrezo,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
andrezac,Tester,QA - Sr,QA,4 - Senior
andrezam,Developer,Developer - Jr,Developer,2 - Junior
andrezap,Digital Strategist,Digital Strategist,Digital Strategist,5 - Master / Manager
andrezasecon,Developer,Developer - Sr,Developer,4 - Senior
andrezf,Developer,Developer - Sr,Developer,4 - Senior
andrielle.calegari,Tester,Not Applicable,Not Applicable,5 - Master / Manager
andriza,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
andyl,Tester,QA - Jr,QA,2 - Junior
aneleine.oliveira,Squad Leader,Scrum Master,Scrum Master,4 - Senior
anelises,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
aneor,Developer,Developer - Sr,Developer,4 - Senior
anestephanie,UX Designer,UX Specialist - Mid,UX Specialist,3 - Mid-Level
angel.rios,Developer,Developer - Sr,Developer,4 - Senior
angela.fonseca,Content Manager,Business Analyst - Mid,Business Analyst,3 - Mid-Level
angela.jerez,Squad Leader,Scrum Master,Scrum Master,4 - Senior
angelahuelgas,Developer,Developer - Jr,Developer,2 - Junior
angelasantos,Developer,Developer - Jr,Developer,2 - Junior
angelicacruz,Product Owner,Business Analyst - Sr,Business Analyst,4 - Senior
angelicads,Developer,Developer - Jr,Developer,2 - Junior
angelicaf,Tester,QA - Mid,QA,3 - Mid-Level
angelicapires,Product Designer,UI Designer - Mid,UI Designer,3 - Mid-Level
angelicas,Developer,Developer - Mid,Developer,3 - Mid-Level
angelicaweiler,Developer,Developer - Sr,Developer,4 - Senior
angelo.neto,Developer,Developer - Sr,Developer,4 - Senior
angelobernardes,Tester,QA - Sr,QA,4 - Senior
angelof,Developer,Developer - Sr,Developer,4 - Senior
angelolucas,Developer,Developer - Mid,Developer,3 - Mid-Level
angelom,Developer,Developer - Sr,Developer,4 - Senior
angelvn,Squad Leader,Scrum Master,Scrum Master,4 - Senior
angyg,Developer,Developer - Sr,Developer,4 - Senior
anna,Project Manager,Project Manager,Project Manager,5 - Master / Manager
annab,Squad Leader,Scrum Master,Scrum Master,4 - Senior
annacs,Product Manager,Product Manager,Product Manager,5 - Master / Manager
annalaudares,Developer,Developer - Jr,Developer,2 - Junior
annan,Squad Leader,Scrum Master,Scrum Master,4 - Senior
anne.silva,Tester,QA - Sr,QA,4 - Senior
anneh,Scrum Master,Scrum Master,Scrum Master,4 - Senior
annemarie.checinski,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
annesilva,Data Developer,Data Developer - Jr,Data Developer,2 - Junior
annevg,Data & Analytics Specialist,Data Analyst - Jr,Data Analyst,2 - Junior
annicaroline,Developer,Developer - Sr,Developer,4 - Senior
annl,Tester,QA - Mid,QA,3 - Mid-Level
annyaraujo,Developer,Developer - Jr,Developer,2 - Junior
anthonygdos,Developer,Developer - Mid,Developer,3 - Mid-Level
antoine.mallah,Developer,Developer - Mid,Developer,3 - Mid-Level
antongarcia,Developer,Developer - Sr,Developer,4 - Senior
antonio.jesus,Developer Master,Developer - Master,Developer,5 - Master / Manager
antonio.junior,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
antoniobueno,Developer,Developer - Mid,Developer,3 - Mid-Level
antoniocorrea,Developer,Developer - Sr,Developer,4 - Senior
antoniocr,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
antoniodias,Tester,QA - Mid,QA,3 - Mid-Level
antoniojss,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
antoniojustino,Developer,Developer - Mid,Developer,3 - Mid-Level
antoniomaluf,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
antoniomj,Developer,Developer - Mid,Developer,3 - Mid-Level
antoniomn,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
antoniomr,Developer,Developer - Mid,Developer,3 - Mid-Level
antoniomt,Developer,Developer - Mid,Developer,3 - Mid-Level
antonion,Developer,Developer - Sr,Developer,4 - Senior
antoniont,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
antonioo,Developer,Developer - Sr,Developer,4 - Senior
antoniosf,Developer,Developer - Sr,Developer,4 - Senior
antonioss,Data Developer,Data Developer - Sr,Data Developer,4 - Senior
antoniot,Developer,Developer - Jr,Developer,2 - Junior
antoniow,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
antonioz,Developer,Developer - Sr,Developer,4 - Senior
antonnys,Developer,Intern,Intern,1 - Intern
antonycm,Tester,QA - Mid,QA,3 - Mid-Level
antonyf,Developer,Developer - Mid,Developer,3 - Mid-Level
aparecidaa,Developer,Intern,Intern,1 - Intern
aparecidasr,Developer,Developer - Sr,Developer,4 - Senior
apeglow,Developer,Developer - Mid,Developer,3 - Mid-Level
apelizza,Developer,Developer - Sr,Developer,4 - Senior
apeterson,Developer,Intern,Intern,1 - Intern
apinheiro,Developer,Developer - Sr,Developer,4 - Senior
apolomr,Developer Master,Developer - Master,Developer,5 - Master / Manager
apresotto,Product Manager,Product Manager,Product Manager,5 - Master / Manager
apvendramin,Developer,Developer - Sr,Developer,4 - Senior
aramalho,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
aramos,Senior Digital Strategist,Senior Digital Strategist,Senior Digital Strategist,6 - Master 2 / Senior Manager
araujo.bruno,Developer,Developer - Sr,Developer,4 - Senior
arcerito,Group Product Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
areimer,Systems Architect,Systems Architect,Systems Architect,5 - Master / Manager
ariane.ferreira,Developer,Developer - Mid,Developer,3 - Mid-Level
arianec,Project Manager,Project Manager,Project Manager,5 - Master / Manager
arianerocha,Developer,Developer - Jr,Developer,2 - Junior
ariele,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
arielg,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
arissa,Scrum Master,Scrum Master,Scrum Master,4 - Senior
aristeu,Developer,Developer - Sr,Developer,4 - Senior
armanelli,Scrum Master,Squad Leader,Squad Leader,5 - Master / Manager
armedc,Developer,Developer - Sr,Developer,4 - Senior
arnaldokt,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
arnoldm,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
aronjasper,Developer,Developer - Sr,Developer,4 - Senior
aroque,Developer,Developer - Sr,Developer,4 - Senior
arthur,Principal Data Scientist,Not Applicable,Not Applicable,6 - Master 2 / Senior Manager
arthurag,Tester,QA - Mid,QA,3 - Mid-Level
arthurbicalho,Developer,Developer - Mid,Developer,3 - Mid-Level
arthurbrum,Developer,Developer - Sr,Developer,4 - Senior
arthurcardoso,Developer,Developer - Mid,Developer,3 - Mid-Level
arthurcs,Developer,Developer - Sr,Developer,4 - Senior
arthurfujii,Developer,Intern,Intern,1 - Intern
arthurgregorio,Developer,Developer - Mid,Developer,3 - Mid-Level
arthurhac,Developer,Developer - Mid,Developer,3 - Mid-Level
arthurhdo,Developer,Developer - Mid,Developer,3 - Mid-Level
arthurhf,Tester,QA - Sr,QA,4 - Senior
arthurk,Data & Analytics Specialist,Data Analyst - Sr,Data Analyst,4 - Senior
arthurnb,Developer,Developer - Mid,Developer,3 - Mid-Level
arthurquites,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
arthurrc,Developer,Developer - Sr,Developer,4 - Senior
arthursabbatini,Developer,Developer - Sr,Developer,4 - Senior
arthurv,Senior Product Director,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
arthurvs,Developer Master,Developer - Master,Developer,5 - Master / Manager
arturc,Developer,Developer - Mid,Developer,3 - Mid-Level
arturj,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
arturoq,Developer,Developer - Mid,Developer,3 - Mid-Level
arturpc,Developer,Developer - Mid,Developer,3 - Mid-Level
arturs,Developer,Developer - Sr,Developer,4 - Senior
artursc,Developer,Developer - Sr,Developer,4 - Senior
aruani,Digital Strategist,Digital Strategist,Digital Strategist,5 - Master / Manager
aruger,Tester,QA - Mid,QA,3 - Mid-Level
aryelr,Support Analyst,Support Analyst - Sr,Support Analyst,4 - Senior
arygabriel,Developer,Developer - Sr,Developer,4 - Senior
aschillreff,Developer,Intern,Intern,1 - Intern
aschmitt,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
asenl,Developer,Developer - Mid,Developer,3 - Mid-Level
ashley.behari,Business Analyst,Not Applicable,Not Applicable,4 - Senior
ashleyc,Developer,Developer - Sr,Developer,4 - Senior
asignorette,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
asouza,Developer Master,Developer - Master,Developer,5 - Master / Manager
ataide,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
athos,Tester,QA - Sr,QA,4 - Senior
athossilva,Developer,Developer - Jr,Developer,2 - Junior
atiliof,Developer,Developer - Mid,Developer,3 - Mid-Level
atillam,Developer,Developer - Sr,Developer,4 - Senior
atingson,Developer,Developer - Mid,Developer,3 - Mid-Level
atoazza,Tester,QA - Mid,QA,3 - Mid-Level
atos,Developer,Developer - Mid,Developer,3 - Mid-Level
atrombetone,Developer,Developer - Sr,Developer,4 - Senior
augusto.gregorio,Developer,Developer - Sr,Developer,4 - Senior
augustoc,Developer,Developer - Mid,Developer,3 - Mid-Level
augustoft,Developer,Developer - Sr,Developer,4 - Senior
augustog,Data & Analytics Specialist Master,Data Analyst - Master,Data Analyst,5 - Master / Manager
augustogm,Developer,Developer - Jr,Developer,2 - Junior
augustos,Developer,Developer - Sr,Developer,4 - Senior
aura.rincon,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
aureliomarco,Developer,Developer - Sr,Developer,4 - Senior
aurelion,Developer Master,Developer - Master,Developer,5 - Master / Manager
avanilson,Developer,Developer - Sr,Developer,4 - Senior
avieannetorres,Scrum Master,Scrum Master,Scrum Master,4 - Senior
axel.sotelo,Developer,Developer - Sr,Developer,4 - Senior
axell,Developer,Developer - Mid,Developer,3 - Mid-Level
ayamaguishi,Developer,Intern,Intern,1 - Intern
ayanny,Developer,Developer - Mid,Developer,3 - Mid-Level
azappala,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
balbuquerque,Data Scientist Master,Data Scientist - Master,Data Scientist,5 - Master / Manager
bangw,Developer,Developer - Jr,Developer,2 - Junior
barbara.ewerling,Project Manager,Project Manager,Project Manager,5 - Master / Manager
barbara.silverio,Developer,Developer - Mid,Developer,3 - Mid-Level
barbaracs,Developer,Developer - Sr,Developer,4 - Senior
barbarad,Developer,Developer - Mid,Developer,3 - Mid-Level
barbarag,Developer,Developer - Sr,Developer,4 - Senior
barbaraj,Developer,Developer - Sr,Developer,4 - Senior
barbararibeiro,Developer,Developer - Jr,Developer,2 - Junior
barbarars,Developer,Developer - Mid,Developer,3 - Mid-Level
barbarat,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
barboza,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
barz,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
bbarcelos,Developer,Developer - Jr,Developer,2 - Junior
bbarreto,Developer,Developer - Mid,Developer,3 - Mid-Level
bbeato,Developer,Developer - Mid,Developer,3 - Mid-Level
bbengochea,Developer,Developer - Mid,Developer,3 - Mid-Level
bberaldi,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
bberton,Developer Master,Developer - Master,Developer,5 - Master / Manager
bbortolucci,Developer,Developer - Sr,Developer,4 - Senior
bbrandao,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
bbreder,Developer Master,Developer - Master,Developer,5 - Master / Manager
bbrito,Developer,Intern,Intern,1 - Intern
bcaboclo,Developer,Developer - Mid,Developer,3 - Mid-Level
bcaffaro,Product Manager,Product Manager,Product Manager,5 - Master / Manager
bcardemas,Tester,QA - Sr,QA,4 - Senior
bcarrara,Developer,Developer - Jr,Developer,2 - Junior
bcassiamani,Developer,Developer - Sr,Developer,4 - Senior
bcezar,Developer,Developer - Sr,Developer,4 - Senior
bchagas,Developer,Developer - Sr,Developer,4 - Senior
bchimetta,Data Scientist,Data Scientist - Sr,Data Scientist,4 - Senior
bcurvello,Developer,Developer - Mid,Developer,3 - Mid-Level
bdelmouro,Developer,Developer - Mid,Developer,3 - Mid-Level
bduran,Developer,Developer - Sr,Developer,4 - Senior
beatrizam,Developer,Developer - Jr,Developer,2 - Junior
beatrizc,Information Security Analyst,Support Analyst - Jr,Support Analyst,2 - Junior
beatrizf,Developer,Developer - Sr,Developer,4 - Senior
beatrizfc,Tester,QA - Mid,QA,3 - Mid-Level
beatrizl,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
beatrizlima,Developer,Developer - Mid,Developer,3 - Mid-Level
beatrizms,Developer,Developer - Jr,Developer,2 - Junior
beatriznunes,Business Analyst,Business Analyst - Sr,Business Analyst,4 - Senior
beatrizor,Developer,Developer - Jr,Developer,2 - Junior
beatrizp,Tester,QA - Sr,QA,4 - Senior
beatrizpv,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
beatrizrc,Tester,QA - Mid,QA,3 - Mid-Level
