Login,Role,Standard Role,Role Base Name,Role Group
vcruz,Architecture Manager,Principal Architect,Principal Architect,6 - Master 2 / Senior Manager
vdantas,Developer,Developer - Mid,Developer,3 - Mid-Level
vdelgado,Squad Leader,Scrum Master,Scrum Master,4 - Senior
vduarte,Senior Manager,Senior Manager,Senior Manager,6 - Master 2 / Senior Manager
vendramin,Developer Master,Developer - Master,Developer,5 - Master / Manager
venicius,Developer,Developer - Jr,Developer,2 - Junior
venkata.nidamanuri,Developer,Developer - Sr,Developer,4 - Senior
verdelho,Developer Master,Developer - Master,Developer,5 - Master / Manager
veronica,Tester,QA - Sr,QA,4 - Senior
veronicapb,Developer,Developer - Mid,Developer,3 - Mid-Level
veugenio,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
vfagnano,Scrum Master,Scrum Master,Scrum Master,4 - Senior
vferreira,Squad Leader,Squad Leader,Squad Leader,5 - Master / Manager
vfigueiredo,Technical Leader,Software Architect - Sr,Software Architect,4 - Senior
vfolster,Scrum Master,Scrum Master,Scrum Master,3 - Mid-Level
vfranca,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
vfranco,Tester,QA - Sr,QA,4 - Senior
vgabriel,Developer,Developer - Sr,Developer,4 - Senior
vgalo,Data & Analytics Specialist,Data Analyst - Mid,Data Analyst,3 - Mid-Level
vgarcia,Developer,Developer - Sr,Developer,4 - Senior
vgavazoni,Developer,Developer - Mid,Developer,3 - Mid-Level
vgcarvalho,Tester,QA - Sr,QA,4 - Senior
vgentil,Developer,Developer - Sr,Developer,4 - Senior
vgiorgio,Developer,Developer - Mid,Developer,3 - Mid-Level
vgoncalves,Developer,Developer - Sr,Developer,4 - Senior
vhaiek,Developer Master,Developer - Master,Developer,5 - Master / Manager
vicentini,Software Architect,Software Architect - Sr,Software Architect,4 - Senior
vicheldt,Developer,Developer - Mid,Developer,3 - Mid-Level
victopessoa,Developer,Developer - Sr,Developer,4 - Senior
victor.almeida,Project Manager,Project Manager,Project Manager,5 - Master / Manager
victor.augusto,Not Applicable,Not Applicable,Not Applicable,3 - Mid-Level
victor.cuerdo,Support Analyst,Not Applicable,Not Applicable,4 - Senior
victor.eloi,Tester,QA - Sr,QA,4 - Senior
victor.gomes,Developer Master,Developer - Master,Developer,5 - Master / Manager
victor.hugo,Developer,Developer - Sr,Developer,4 - Senior
victor.loaiza,Data Developer,Data Developer - Mid,Data Developer,3 - Mid-Level
victor.lourenco,Developer,Developer - Sr,Developer,4 - Senior
